aircraft delay1 delay2 delay3 delay4 delay5
275 288 278 323 8 248 
276 46 46 26 2 6 
277 6 6 1 1 1 
279 258 273 228 83 118 
280 255 220 635 1930 740 
281 195 163 218 1168 328 
282 270 275 245 90 130 
283 4 4 4 4 4 
284 34 34 4 5 4 
285 340 260 495 145 305 
286 270 225 315 50 165 
287 285 230 370 55 175 
288 40 33 3 3 3 
289 6 6 6 1 1 
290 167 172 322 967 362 
291 172 177 187 37 132 
292 14 9 9 9 9 
294 8 8 13 8 13 
295 220 183 278 1173 673 
296 54 49 4 5 9 
297 263 188 408 994 373 
298 12 12 12 17 17 
299 203 213 88 88 43 
300 35 35 5 6 5 
301 294 254 384 109 174 
302 305 240 425 971 425 
303 208 218 373 953 378 
304 209 224 109 84 99 
305 1 1 1 1 1 
306 52 57 42 3 2 
307 318 243 458 1034 503 
308 47 25 10 25 20 
311 15 15 5 5 5 
312 7 7 2 2 2 
314 243 233 148 88 108 
316 55 60 55 21 5 
317 9 9 4 4 9 
319 20 20 0 0 0 
320 375 270 510 1051 505 
321 318 283 398 113 193 
323 28 28 3 3 3 
324 31 41 1 7 1 
325 304 314 319 124 134 
326 15 15 10 5 10 
327 31 31 6 6 6 
328 3 6 11 6 16 
329 20 15 0 5 0 
330 16 16 6 6 6 
331 246 256 156 81 116 
332 8 8 3 8 3 
333 171 196 1 11 106 
334 4 4 4 4 4 
336 278 293 578 1343 498 
338 20 15 5 10 5 
339 180 200 55 90 40 
340 66 71 1 2 6 
341 187 202 167 7 97 
342 29 47 57 7 17 
343 269 289 254 1104 669 
344 14 19 9 4 9 
345 0 0 0 0 0 
346 26 24 49 84 74 
347 45 45 5 6 5 
348 49 54 9 10 9 
349 275 210 415 986 380 
350 34 42 62 97 82 
351 195 210 0 5 95 
352 31 31 1 2 1 
353 40 48 8 48 28 
354 35 35 20 6 5 
355 0 0 0 0 0 
356 284 299 269 104 129 
358 353 293 448 183 223 
359 0 3 3 3 3 
360 315 320 60 90 140 
361 0 0 0 0 0 
362 0 0 0 0 0 
363 8 11 6 26 6 
364 17 17 7 7 7 
365 300 315 635 2090 720 
366 6 11 1 1 1 
367 33 36 41 6 11 
368 5 5 5 10 0 
369 424 349 624 184 309 
370 10 10 0 0 0 
371 43 53 18 9 3 
372 14 14 9 4 9 
373 36 44 4 9 19 
375 12 12 12 2 17 
376 372 307 567 122 307 
377 314 244 439 975 449 
378 0 0 0 0 0 
379 323 323 403 133 203 
380 337 327 512 87 192 
381 0 0 0 0 0 
382 304 314 644 2084 714 
383 448 353 713 213 313 
384 327 247 472 1038 507 
385 229 249 119 74 89 
386 461 319 594 1159 839 
387 6 9 4 49 19 
388 345 345 455 150 245 
389 239 264 4 4 109 
391 13 13 3 3 3 
392 0 0 0 0 0 
393 314 334 654 2069 709 
394 13 46 1 46 16 
395 254 269 169 79 114 
397 0 0 0 0 0 
398 4 4 4 4 4 
399 380 290 580 1276 500 
401 0 0 0 0 0 
402 46 51 6 17 16 
403 410 330 575 120 310 
405 52 57 32 3 2 
407 50 65 40 6 0 
409 280 295 250 70 110 
410 13 13 3 3 3 
411 1 1 1 1 1 
412 287 302 257 2 117 
413 0 0 0 0 0 
415 330 345 310 1125 860 
416 458 353 668 2064 708 
417 287 302 307 127 132 
418 6 6 6 1 1 
419 291 311 601 2001 716 
420 5 5 0 5 5 
421 5 5 0 0 0 
422 8 8 3 3 3 
423 103 66 61 6 11 
424 61 71 81 57 126 
425 113 76 101 11 6 
426 5 5 5 5 5 
