aircraft delay1 delay2 delay3 delay4 delay5
1159 1189 874 1614 2610 1684 
1160 12 12 2 2 7 
1161 0 0 0 0 0 
1162 0 0 0 0 0 
1163 160 230 0 1 5 
1164 0 0 0 0 0 
1165 26 26 1 1 1 
1166 197 220 0 0 5 
1167 1138 923 1493 2993 2953 
1168 1157 927 1512 3002 2962 
1169 1062 917 612 552 777 
1170 215 238 3 3 13 
1171 224 244 10 10 23 
1172 204 232 452 2 7 
1173 822 937 602 12 172 
1174 27 27 2 2 2 
1177 1077 917 1797 592 787 
1178 792 892 527 2 192 
1179 220 248 448 2988 2953 
1180 799 929 889 4 159 
1181 172 242 2 63 17 
1182 3 3 3 3 3 
1183 208 226 31 16 16 
1184 222 230 80 30 25 
1185 0 0 0 0 0 
1186 172 242 2 68 32 
1187 3 3 3 3 3 
1188 828 913 613 33 193 
1189 222 255 445 5 5 
1190 796 896 816 31 191 
1191 1159 944 699 609 839 
1193 1084 909 1854 584 779 
1194 1097 917 1282 602 797 
1195 1104 919 1919 604 804 
1197 179 259 4 0 4 
1198 194 232 2 2 2 
1199 1110 925 1935 605 800 
1200 186 266 6 7 6 
1201 0 0 0 0 0 
1202 811 946 1686 2551 1746 
1203 0 0 0 0 0 
1204 1190 970 1535 2960 2925 
1205 1135 945 685 620 835 
1207 5 5 0 0 0 
1208 802 912 2 2 187 
1209 1164 949 1514 2974 2939 
1210 202 235 455 2960 2925 
1211 0 0 0 0 0 
1212 826 961 1721 2551 1766 
1213 0 0 0 0 0 
1214 3 3 3 3 3 
1215 2 2 2 2 2 
1216 5 5 5 5 5 
1217 1180 943 1868 2908 3103 
1218 0 0 0 0 0 
1219 1153 933 1963 608 788 
1220 444 249 84 20 24 
1222 2 2 2 2 2 
1223 0 0 0 0 0 
1224 0 0 0 0 0 
1225 0 0 0 0 0 
1226 1310 960 1755 2561 1775 
1227 0 0 0 0 0 
1228 197 235 460 5 5 
1229 208 246 41 11 11 
1230 1398 968 1823 2554 1778 
1231 220 275 0 11 5 
1232 1 1 1 1 1 
1233 801 936 546 6 161 
1234 806 941 1646 2566 1716 
1235 850 960 765 3510 3075 
1236 202 235 5 5 10 
1237 1399 974 1839 2555 1854 
1238 6 6 1 1 1 
1239 0 0 0 0 0 
1240 3 3 8 3 3 
1241 8 8 18 8 8 
1242 209 237 522 22 12 
1244 203 236 81 16 6 
1245 210 240 0 0 12 
1247 0 0 0 0 0 
1248 209 237 2 7 17 
1249 0 0 0 0 0 
1250 208 241 451 1 11 
1251 236 286 6 37 41 
1252 6 6 1 11 11 
1253 250 290 40 16 5 
1254 203 241 446 2881 2846 
1255 441 251 101 12 16 
1256 866 976 1881 2551 1851 
1257 209 242 452 2907 2872 
1258 1 1 1 6 6 
1260 207 227 7 3 2 
1261 820 950 625 10 185 
1264 0 0 0 0 0 
1265 894 979 1934 2539 1879 
1266 2 2 2 2 2 
1267 1441 981 1896 2552 1851 
1268 822 952 1702 2547 1742 
1269 198 243 18 4 3 
1270 0 0 0 0 0 
1271 1232 972 622 532 772 
1272 837 962 637 7 182 
1273 208 241 91 11 11 
1274 0 0 0 0 0 
1275 0 0 0 0 0 
1277 1 1 11 11 11 
1278 239 272 47 7 12 
1279 839 959 889 4 149 
1280 5 5 0 0 0 
1281 10 10 5 5 5 
1282 0 0 0 0 0 
1283 192 225 505 0 0 
1284 1183 983 2088 543 798 
1285 230 258 3 3 8 
1286 0 0 0 0 0 
1287 195 228 93 13 8 
1288 893 973 1948 2533 1883 
1289 199 232 2 2 2 
1290 1378 968 1758 2554 1773 
1292 0 0 0 0 0 
1293 225 248 33 3 8 
1294 1380 965 1770 2551 1770 
1295 1 1 5 1 1 
1296 5 5 0 5 5 
1297 4 4 4 4 4 
1298 193 228 3 4 3 
1299 216 251 1 2 11 
1300 6 6 6 6 6 
1301 585 310 145 66 35 
1302 278 276 96 26 36 
1303 227 262 2 3 17 
1304 202 240 5 0 5 
1305 1262 997 647 547 982 
1306 892 972 1977 2532 1932 
1307 911 981 1 6 186 
1308 195 230 60 6 5 
1309 1403 973 1858 2554 1858 
1310 864 974 769 3494 3059 
1311 207 240 560 10 5 
1312 1351 1016 1781 2886 2846 
1313 1280 1010 645 570 980 
1314 910 980 0 5 185 
1316 890 975 1995 2530 1935 
1317 203 228 3 4 8 
1318 208 233 8 9 13 
1319 870 980 0 0 170 
1320 1233 988 1643 2893 2858 
1321 215 250 625 541 630 
1322 0 0 0 0 0 
1323 0 0 0 0 4 
1324 257 285 560 0 15 
1325 882 982 2 2 207 
1326 914 984 2004 2529 1989 
1327 918 1003 2053 2528 2023 
1328 928 1008 8 8 183 
1329 8 8 3 3 3 
1330 211 246 621 537 626 
1331 1236 981 1381 541 791 
1332 247 292 837 548 907 
1333 0 0 0 0 0 
1334 537 302 102 8 7 
1335 1461 981 1906 2547 1846 
1336 609 314 164 70 29 
1337 212 252 2 48 37 
1338 245 300 840 546 905 
1339 1257 1007 1717 2882 2847 
1340 235 263 488 2853 2818 
1341 0 0 0 0 0 
1342 0 0 0 0 0 
1343 2 2 2 2 2 
1344 1248 993 1388 538 828 
1345 1251 996 641 546 966 
1346 244 277 67 7 12 
1350 0 0 0 0 0 
1351 566 321 106 37 16 
1352 230 265 5 6 20 
1353 255 283 3 8 18 
1354 1541 1011 2066 2522 2021 
1355 263 281 196 31 21 
1356 6 6 8 6 6 
1357 0 0 0 0 0 
1358 252 332 12 28 7 
1359 4 4 4 4 4 
1360 256 289 4 9 29 
1361 596 326 161 62 41 
1362 1299 1034 2579 544 964 
1363 3 3 3 3 3 
1364 239 294 4 0 19 
1365 0 0 0 0 0 
1366 1343 1038 898 543 998 
1368 954 1024 889 9 174 
1369 243 293 53 9 18 
1370 895 980 735 3445 3010 
1371 1550 1015 2085 2521 2035 
1374 934 1019 2129 2519 2034 
1375 265 325 955 541 995 
1376 0 0 0 0 0 
1378 906 976 1 6 171 
1379 609 319 189 70 29 
1381 263 276 86 1 6 
1382 4 4 1 4 4 
1384 0 0 0 0 0 
1385 249 309 4 0 9 
1386 256 269 184 19 9 
1387 1382 1077 1852 2827 2782 
1388 962 1042 12 12 182 
1389 947 1022 592 2 172 
1390 0 0 0 0 0 
1391 8 8 0 3 3 
1392 13 13 15 13 13 
1393 541 324 554 59 9 
1394 959 1029 714 3384 2949 
1395 1401 1034 2029 3387 2954 
1396 989 1069 649 14 174 
1397 12 7 7 1 1 
1400 261 279 64 4 19 
1401 266 284 4 14 29 
1402 270 288 93 8 23 
1403 1537 1002 2022 2528 2022 
1405 0 0 0 0 0 
1406 1318 1038 1673 563 973 
1408 0 0 0 0 0 
1410 244 319 19 5 4 
1412 248 313 3 14 3 
1413 0 0 9 9 0 
1414 1340 1045 1730 575 1065 
1415 257 317 2 13 2 
1416 1336 1014 1984 3402 2969 
1417 1614 1049 2114 2485 2019 
1418 254 267 172 2 2 
1419 5 5 0 0 0 
1421 982 1047 777 3367 2932 
1422 997 1052 2147 2487 2032 
1424 259 276 1 1 36 
1426 0 0 0 0 0 
1427 261 279 549 4 9 
1428 235 310 5 6 5 
1429 935 1020 0 0 165 
1430 256 269 74 4 4 
1431 1001 1091 626 11 161 
1433 939 1019 4 9 169 
1434 237 307 7 3 2 
1435 621 306 216 12 6 
1437 982 1067 2177 2462 2102 
1438 3 3 3 3 3 
1439 266 279 464 2774 2739 
1440 11 11 6 6 6 
1441 267 275 465 2750 2710 
1442 5 5 0 0 0 
1443 1342 1067 2772 562 1067 
1444 4 4 4 4 4 
1446 247 307 17 18 12 
1447 281 289 4 4 4 
1448 992 1082 2 7 157 
1449 285 293 498 2763 2713 
1450 249 324 4 30 4 
1451 245 320 0 11 0 
1453 249 329 4 20 4 
1454 290 298 88 8 8 
1455 1003 1088 2228 2483 2103 
1456 0 0 0 0 0 
1457 957 1042 612 7 182 
1458 259 272 192 7 7 
1459 253 333 948 529 1003 
1460 0 0 5 0 0 
1461 991 1076 801 3346 2911 
1462 0 0 0 0 0 
1463 1642 1087 2197 2468 2107 
1464 4 4 4 4 4 
1465 1352 1072 977 562 1067 
1466 1361 1081 2801 571 1076 
1467 254 267 2 2 2 
1468 1000 1090 2240 2485 2120 
1469 1650 1090 2215 2471 2105 
1470 285 293 498 2748 2698 
1471 266 276 4 9 19 
1472 961 1041 761 3366 2931 
1473 0 0 0 0 0 
1474 1362 1092 997 772 1102 
1475 967 1052 2 2 177 
1476 1619 1059 2124 2485 2024 
1477 268 276 441 2736 2701 
1478 0 0 0 0 0 
1479 1436 1059 2149 3362 2929 
1480 270 278 218 3 8 
1481 275 283 478 2753 2708 
1482 981 1061 626 16 176 
1483 2 2 1 1 2 
1484 2 2 2 2 2 
1485 988 1063 803 3363 2928 
1486 0 0 0 0 0 
1487 284 292 77 2 7 
1488 263 313 53 14 8 
1490 0 0 4 4 0 
1491 992 1072 2157 2472 2022 
1492 1001 1091 656 6 156 
1493 265 330 10 36 15 
1494 8 8 3 3 8 
1495 283 333 18 44 33 
1496 301 341 96 22 21 
1497 285 293 8 8 8 
1498 1502 1095 2195 3308 2875 
1499 5 5 0 0 0 
1501 1510 1098 2333 3321 2888 
1502 237 312 2 8 2 
1503 545 318 558 43 3 
1504 0 0 0 0 0 
1505 0 0 0 0 0 
1506 10 10 0 0 10 
1507 291 299 219 9 9 
1508 1724 1104 2299 2485 2134 
1509 319 344 99 15 14 
1510 2 2 2 2 2 
1511 242 317 2 13 2 
1512 10 10 0 0 0 
1513 659 357 632 62 57 
1514 278 281 81 6 11 
1515 5 5 0 0 0 
1516 1739 1114 2299 2470 2119 
1517 286 294 94 4 4 
1519 294 297 232 7 12 
1520 265 273 3 3 3 
1521 1 1 0 0 1 
1522 321 381 91 7 6 
1523 268 276 86 1 1 
1524 0 0 5 5 0 
1525 1028 1113 2318 2448 2113 
1526 1762 1117 2307 2458 2117 
1527 281 294 119 9 4 
1528 1414 1114 1024 724 1469 
1529 282 285 540 0 0 
1531 0 0 0 0 0 
1532 274 277 237 27 27 
1533 0 0 0 0 0 
1534 278 291 111 11 11 
1535 273 301 561 1 6 
1536 999 1089 2254 2479 2119 
1538 0 0 0 0 0 
1540 316 381 6 32 26 
1541 1006 1096 981 11 161 
1542 252 322 2 18 12 
1543 1375 1110 945 710 1055 
1545 1381 1111 1951 741 1081 
1546 1484 1169 2099 2694 4204 
1547 274 277 2 2 2 
1548 0 0 0 0 0 
1549 1479 1134 2934 764 1509 
1550 649 382 667 32 37 
1551 1027 1122 1012 7 122 
1552 1001 1096 801 3306 2871 
1553 1489 1149 2979 764 1549 
1554 0 0 0 0 0 
1555 0 0 0 0 0 
1556 1031 1121 2316 2421 2086 
1558 1386 1111 971 731 1271 
1559 1411 1116 2821 741 1336 
1560 1694 1104 2254 2465 2119 
1561 1039 1124 1064 24 124 
1562 1 1 1 1 1 
1563 1508 1106 2241 3304 2871 
1564 1014 1109 669 9 159 
1565 1 1 1 1 1 
1566 691 401 241 27 6 
1567 6 6 1 1 1 
1569 1020 1110 0 0 150 
1570 1058 1178 603 3 103 
1572 1020 1110 2260 2455 2110 
1573 0 0 0 0 0 
1574 668 388 208 9 8 
1575 246 311 1 2 1 
1576 1426 1121 1036 731 1506 
1577 277 300 120 5 0 
1578 5 5 5 5 5 
1579 1066 1161 1116 16 116 
1581 1 1 0 0 1 
1583 257 327 32 8 2 
1584 1542 1110 2360 3293 2860 
1585 1040 1130 850 3255 2815 
1586 0 0 0 0 0 
1587 1058 1138 888 3263 2818 
1588 1065 1180 605 50 125 
1589 9 9 14 4 4 
1590 1463 1128 1033 723 1508 
1591 277 290 110 0 0 
1592 1600 1185 3090 785 1540 
1593 0 0 0 0 0 
1594 723 411 756 36 31 
1595 13 13 3 53 53 
1596 15 15 10 0 5 
1597 1514 1174 2104 2684 4199 
1599 0 0 0 0 0 
1600 2 2 1 1 2 
1602 278 306 1 16 11 
1603 283 353 68 4 3 
1605 3 3 3 3 3 
1606 291 366 6 37 26 
1607 1543 1153 2113 768 1553 
1608 3 3 2 2 3 
1609 22 12 12 2 2 
1610 1571 1166 1146 771 1556 
1611 274 297 587 7 2 
1612 1573 1173 3073 798 1558 
1613 1552 1120 2375 3273 2840 
1614 1061 1176 921 3256 2806 
1615 313 388 3 4 3 
1616 353 403 103 4 3 
1617 273 296 246 26 6 
1618 1105 1215 605 50 120 
1619 1647 1202 3152 777 1552 
1620 361 406 21 22 21 
1621 371 411 116 12 11 
1622 0 0 0 0 0 
1623 328 398 1188 774 1578 
1624 641 379 599 39 29 
1625 336 401 1206 782 1586 
1627 753 416 761 51 31 
1628 1026 1116 1 1 66 
1629 0 0 0 0 0 
1630 1816 1186 2346 2402 2081 
1631 1081 1191 2361 2391 2066 
1632 4 4 3 3 3 
1633 2 2 2 2 2 
1634 269 292 452 2637 2587 
1635 5 5 0 0 0 
1636 342 407 1237 783 1592 
1638 270 293 253 53 3 
1639 749 422 787 42 32 
1640 0 0 0 0 0 
1642 319 384 9 0 4 
1643 1830 1185 2350 2391 2070 
1644 1542 1207 2127 2652 4172 
1645 1711 1226 1276 811 1601 
1646 1047 1142 1037 12 112 
1647 1075 1185 930 3240 2785 
1648 11 11 1 1 1 
1649 1050 1145 0 0 100 
1650 271 299 624 4 4 
1651 1606 1231 2151 2616 4141 
1652 685 415 260 51 30 
1653 3 3 3 3 3 
1654 1885 1205 2380 2391 2070 
1655 268 301 576 6 6 
1657 1054 1149 4 14 114 
1659 8 8 3 8 8 
1660 276 304 129 9 9 
1661 1057 1157 2322 2407 2082 
1662 709 414 239 20 19 
1663 0 0 0 0 0 
1664 1637 1197 3087 772 1542 
1665 1605 1178 2508 3251 2808 
1666 273 301 651 1 6 
1667 1107 1222 7 12 82 
1668 346 416 1 7 1 
1669 715 415 250 226 40 
1670 279 299 7 12 7 
1671 4 4 4 4 4 
1672 288 311 11 16 16 
1673 1063 1183 2323 2398 2073 
1674 3 3 3 3 3 
1675 4 4 4 4 4 
1676 0 0 0 0 0 
1677 664 407 712 12 22 
1678 1692 1212 3277 792 1577 
1679 5 10 0 0 0 
1680 727 415 795 25 35 
1681 0 0 0 0 0 
1682 7 7 7 7 7 
1683 0 0 0 0 0 
1684 6 11 6 1 1 
1685 1640 1270 2165 2590 4125 
1686 0 0 0 0 0 
1687 1706 1221 2186 801 1591 
1688 0 0 0 0 0 
1689 1730 1230 3385 795 1570 
1690 1 1 1 1 1 
1691 272 300 125 0 5 
1692 1109 1234 2389 2364 2039 
1693 5 5 0 0 0 
1694 283 326 116 6 6 
1695 0 0 0 0 0 
1696 1064 1189 909 3229 2779 
1697 5 5 5 5 5 
1698 341 411 1 2 1 
1699 1107 1227 982 3227 2752 
1700 0 0 0 0 0 
1701 4 4 4 4 4 
1702 1643 1196 2616 3259 2786 
1703 1 1 4 4 1 
1704 265 313 718 8 18 
1705 269 317 737 17 27 
1706 1086 1206 1 1 81 
1707 3 3 3 3 3 
1708 0 0 0 0 0 
1709 356 416 1276 787 1551 
1710 11 11 11 11 11 
1711 13 3 11 6 8 
1713 1620 1240 2150 2595 4125 
1714 1123 1243 1113 3 83 
1715 16 11 14 9 11 
1716 279 304 4 4 38 
1717 0 0 0 0 0 
1718 1770 1290 1295 785 1560 
1719 1095 1210 970 3250 2775 
1720 340 420 65 1 0 
1721 1145 1265 1195 10 95 
1723 1154 1279 4 4 109 
1724 0 0 0 0 0 
1725 277 310 690 5 10 
1726 1884 1219 2394 2385 2069 
1727 1138 1258 2408 2343 2018 
1728 2 2 2 2 2 
1729 4 4 14 4 9 
1730 343 418 3 4 3 
1731 0 0 0 0 0 
1732 1647 1282 2212 2562 4102 
1733 276 319 4 14 33 
1734 1656 1286 2181 2591 4126 
1735 1096 1216 6 1 76 
1736 289 327 107 17 22 
1737 1146 1281 2431 2341 2016 
1738 1128 1248 608 33 88 
1739 4 4 4 4 4 
1740 1136 1286 631 6 141 
1741 1142 1262 647 37 107 
1742 1651 1301 2221 2561 4101 
1743 3 3 8 3 3 
1744 1095 1225 0 5 60 
1745 1099 1229 964 3229 2754 
1746 276 324 94 4 14 
1747 5 5 0 5 5 
1748 1145 1285 2470 2985 2005 
1749 0 0 0 0 0 
1750 1779 1279 1284 774 1539 
1751 1750 1275 2265 775 1550 
1752 1781 1284 2644 3192 2714 
1753 0 0 0 0 0 
1755 1154 1294 2454 2339 2014 
1756 1097 1227 2 2 77 
1757 1808 1298 3498 833 1553 
1758 0 5 0 0 0 
1759 3 3 3 3 3 
1761 358 423 3 4 3 
1762 1 1 4 4 3 
1763 752 412 207 178 7 
1764 1817 1307 1312 1012 1552 
1765 281 324 4 24 14 
1766 1831 1316 1331 1021 1561 
1767 369 429 14 15 14 
1770 1114 1229 2399 2359 2034 
1771 326 374 744 24 24 
1772 1117 1227 592 2 72 
1773 0 0 0 0 0 
1774 1155 1305 35 40 120 
1775 1778 1283 1278 768 1543 
1776 305 348 118 38 18 
1777 1117 1232 977 3207 2727 
1778 1144 1289 2489 3059 1999 
1779 314 362 552 2512 2462 
1780 844 459 209 140 39 
1781 1121 1236 1091 1 81 
1782 1685 1320 2300 2565 4105 
1783 319 377 117 22 17 
1784 1133 1253 633 38 108 
1785 1137 1257 1137 7 92 
1786 0 0 0 0 0 
1787 1799 1349 2399 2534 4084 
1788 2002 1292 2472 3054 2002 
1789 282 339 0 20 11 
1790 1183 1343 678 23 133 
1791 290 342 8 33 14 
1792 323 386 761 6 21 
1793 0 0 0 0 0 
1794 3 3 3 3 3 
1795 749 412 797 17 37 
1797 1148 1293 953 3153 2673 
1798 351 416 81 2 1 
1799 291 339 514 2519 2469 
1800 770 423 813 18 38 
1801 1828 1338 1313 993 1533 
1803 350 415 15 6 5 
1804 4 9 2 2 3 
1805 1875 1313 2608 3151 2673 
1806 330 393 118 13 33 
1807 293 336 526 2516 2466 
1809 308 343 4 29 40 
1810 801 431 196 142 16 
1811 328 391 576 2496 2446 
1812 4 4 4 4 4 
1813 9 9 9 9 9 
1815 5 5 8 8 12 
1816 1171 1331 986 3146 2666 
1818 353 413 1318 984 1523 
1819 1860 1365 1390 1025 1555 
1820 1173 1328 2513 3058 1983 
1821 21 16 1 1 1 
1822 298 346 101 11 11 
1823 397 492 32 3 2 
1824 7 7 17 17 17 
1825 20 15 8 8 9 
1826 325 393 3 53 78 
1827 0 0 0 0 0 
1828 0 0 0 0 0 
1829 306 369 529 2504 2454 
1830 1889 1327 2607 3140 2662 
1831 0 0 0 0 4 
1832 2053 1343 2523 3055 1978 
1833 1866 1376 3521 1046 1571 
1834 334 412 842 12 37 
1835 1195 1355 2560 3055 1975 
1836 13 13 6 11 7 
1837 336 384 2 17 33 
1839 0 0 0 0 0 
1840 0 0 0 0 0 
1841 1220 1385 665 25 130 
1842 337 415 110 10 20 
1843 1181 1331 661 16 136 
1844 1195 1335 2545 3065 1985 
1846 364 449 1419 1165 1579 
1847 414 509 4 5 4 
1848 322 385 0 60 30 
1849 3 3 3 3 3 
1850 777 415 890 10 25 
1851 1190 1345 1055 3130 2650 
1852 0 0 0 0 0 
1853 5 5 0 0 0 
1854 1250 1430 670 40 170 
1855 1897 1397 3547 1197 1637 
1856 1212 1382 1487 2 132 
1857 350 415 0 6 5 
1858 334 412 862 7 27 
1859 341 414 119 9 34 
1860 1944 1362 2627 3130 2652 
1861 7 7 1 2 2 
1862 1202 1372 2567 3047 1967 
1863 339 417 207 87 32 
1864 323 386 186 101 26 
1865 1154 1324 2509 3064 1999 
1868 1158 1328 1203 3 143 
1869 1163 1333 3 8 128 
1870 881 496 231 117 31 
1871 1842 1367 1347 1002 1542 
1872 386 486 1471 1242 1626 
1873 1864 1369 1369 1069 1574 
1874 4 4 4 4 4 
1875 0 0 0 0 0 
1876 0 0 0 2 0 
1877 396 491 1 2 11 
1878 0 0 24 39 20 
1879 1231 1426 1521 46 191 
1880 2 2 2 2 2 
1881 328 406 911 1 16 
1882 3 3 19 5 3 
1883 5 5 0 15 15 
1884 1266 1466 696 36 151 
1885 323 391 821 11 36 
1886 4 4 4 4 4 
1887 0 0 0 0 0 
1888 8 8 3 28 28 
1889 1827 1442 2397 2497 4042 
1890 1288 1483 718 43 183 
1891 1866 1381 3526 1061 1576 
1892 2106 1416 2566 3113 1981 
1893 1180 1330 0 15 135 
1894 15 15 29 5 3 
1895 0 0 0 0 0 
1896 17 17 7 7 7 
1897 1227 1392 2622 3102 1957 
1898 12 12 7 7 7 
1899 26 16 30 6 4 
1900 1845 1460 2415 2495 4040 
1901 1889 1389 1429 1189 1614 
1902 5 5 0 0 0 
1903 911 511 201 67 36 
1904 374 474 4 0 4 
1905 1245 1405 2635 3105 1955 
1906 1915 1400 3575 1200 1645 
1907 11 11 6 6 6 
1908 1983 1488 1538 1248 1778 
1909 1300 1495 725 35 175 
1910 7 7 7 9 7 
1911 420 505 1550 1271 1780 
1913 0 0 3 3 4 
1914 18 13 2 2 2 
1916 1323 1498 748 53 178 
1917 1275 1435 1075 3105 2615 
1919 327 405 210 60 30 
1920 1914 1409 2559 1244 1649 
1921 20 20 5 5 5 
1922 381 486 31 2 1 
1923 17 17 21 7 5 
1924 1935 1353 2593 3121 2643 
1925 1 1 1 1 1 
1926 0 0 15 20 11 
1927 5 5 20 25 21 
1928 20 20 20 20 20 
1930 946 516 231 67 31 
1931 2155 1450 2675 3112 1980 
1932 342 400 90 10 20 
1933 1931 1446 1501 1251 1646 
1934 11 11 1 11 11 
1936 25 25 30 30 30 
1937 422 512 12 33 7 
1938 325 403 928 3 13 
1939 3 3 3 3 3 
1940 1201 1371 1 1 126 
1941 27 27 32 32 32 
1942 9 14 3 3 9 
1943 327 405 555 2410 2360 
1944 2176 1466 2751 3128 1986 
1945 1287 1492 1507 52 167 
1946 402 492 2 3 12 
1947 1204 1379 1079 3124 2639 
1948 431 526 61 7 6 
1949 1955 1465 2555 1245 1645 
1950 0 0 0 0 0 
1951 8 13 2 3 1 
1952 0 0 0 0 0 
1953 1304 1479 2789 3149 1979 
1954 1209 1384 4 4 164 
1955 1958 1463 2578 1243 1678 
1956 0 0 0 0 0 
1957 1970 1475 3580 1245 1770 
1958 20 20 0 0 0 
1959 5 5 5 7 5 
1961 329 407 922 2 17 
1963 1219 1404 4 4 129 
1964 2187 1502 2652 3074 1942 
1965 0 0 0 0 0 
1966 2003 1493 1553 1288 1843 
1967 14 14 4 4 4 
1969 1222 1417 1317 17 152 
1970 1227 1422 1352 22 157 
1971 1234 1439 1369 24 159 
1972 2208 1528 2723 3105 1943 
1973 0 0 0 0 0 
1975 4 9 4 4 4 
1976 0 0 0 0 0 
1977 4 4 4 4 4 
1978 454 554 4 35 19 
1979 2098 1453 2573 3030 1933 
1980 1260 1455 680 50 165 
1981 964 562 1162 67 32 
1982 2003 1508 1553 1288 1833 
1983 1268 1463 1423 18 173 
1984 968 566 1191 76 46 
1985 18 13 2 2 18 
1987 330 408 563 2403 2353 
1989 414 504 1559 1275 1834 
1990 328 396 106 1 1 
1991 334 412 592 2407 2357 
1992 1339 1529 1534 59 174 
1993 13 13 8 23 23 
1994 2214 1534 2779 3116 1954 
1995 15 15 0 0 10 
1996 413 503 3 4 23 
1997 2015 1530 3595 1290 1840 
1998 334 382 107 2 17 
1999 0 0 0 0 0 
2000 417 512 2 3 2 
2001 13 13 3 3 8 
2002 326 389 944 4 4 
2003 1270 1470 2625 3085 1950 
2004 0 0 0 0 0 
2005 2166 1529 2589 3082 2559 
2006 2076 1494 2604 3092 2589 
2007 950 550 215 31 10 
2008 0 0 0 0 0 
2009 4 4 4 4 4 
2010 333 401 96 1 1 
2011 859 512 942 7 17 
2012 1913 1558 2413 2423 3963 
2013 0 0 5 0 0 
2014 1354 1549 2829 3104 2009 
2015 1370 1565 1640 40 180 
2016 2027 1542 3592 1277 1867 
2017 1370 1575 15 55 120 
2018 3 3 0 0 0 
2020 11 11 15 6 4 
2021 1 1 1 1 1 
2022 2 2 2 2 2 
2023 467 592 22 3 2 
2024 0 0 0 0 0 
2025 339 392 582 2347 2297 
2026 2021 1546 2741 1276 1861 
2027 1296 1496 1066 3081 2571 
2028 1384 1569 1669 29 179 
2030 1303 1503 2678 3083 1938 
2031 454 554 4 0 4 
2032 1307 1512 2 27 152 
2033 2035 1555 1590 1265 1860 
2034 1354 1569 1134 3064 2534 
2035 1932 1572 2447 2377 3912 
2036 2132 1515 2590 3088 2570 
2037 1318 1518 1513 43 183 
2038 13 3 7 0 0 
2039 2046 1561 2816 1276 1861 
2040 2140 1523 2598 3096 2573 
2042 427 522 7 38 2 
2043 460 570 10 6 5 
2044 2181 1561 3566 1296 1891 
2045 0 0 0 0 0 
2046 0 0 0 0 0 
2047 0 0 0 0 0 
2048 323 381 1 1 1 
2049 10 0 4 0 0 
2050 0 0 0 0 0 
2051 430 525 1630 1271 1855 
2052 433 528 1653 1284 1878 
2053 943 558 208 19 3 
2054 437 532 1667 1288 1882 
2055 0 0 0 0 0 
2056 885 533 1063 43 33 
2057 2213 1528 2800 3115 2013 
2058 345 388 998 3 8 
2059 445 535 5 1 0 
2060 0 0 0 0 0 
2061 354 397 1047 12 17 
2062 329 387 2 2 2 
2063 334 392 562 2347 2297 
2064 477 602 7 8 2 
2065 1395 1585 705 30 150 
2066 1343 1533 1558 28 163 
2067 1347 1537 1577 32 167 
2068 356 404 109 9 19 
2069 2116 1571 2836 1286 1896 
2070 1001 609 1264 24 19 
2071 342 385 590 2320 2270 
2072 445 540 1680 1286 1900 
2073 1347 1542 1592 32 172 
2074 0 0 0 0 0 
2075 8 8 13 8 3 
2077 2258 1548 2815 3105 2008 
2078 11 11 1 1 6 
2079 372 410 1090 10 25 
2080 1 1 0 0 1 
2081 3 3 3 3 3 
2082 932 540 1125 45 30 
2083 349 392 97 7 2 
2084 3 3 2 2 3 
2085 0 0 0 0 0 
2086 356 399 184 29 19 
2087 2217 1587 1767 1312 1942 
2088 1348 1553 1618 33 168 
2089 9 9 9 4 4 
2090 370 403 598 2313 2263 
2091 489 584 9 10 9 
2092 951 559 1144 44 29 
2093 2 2 2 2 2 
2094 1370 1565 1135 3060 2500 
2095 487 622 12 63 12 
2096 328 381 96 1 1 
2097 0 0 0 0 0 
2098 2281 1576 2843 3098 2011 
2099 976 601 191 17 16 
2101 1366 1561 1161 3061 2496 
2102 335 388 3 3 8 
2103 1 1 1 1 1 
2104 9 9 4 4 4 
2105 341 389 4 4 29 
2106 2050 1630 2485 2340 3860 
2107 0 0 0 0 0 
2108 2188 1568 2863 1293 1888 
2109 1390 1580 2790 3035 2160 
2110 2259 1572 2557 3065 2492 
2111 1381 1576 1201 3066 2491 
2112 2 7 2 2 2 
2113 344 387 977 2 2 
2115 1372 1567 1642 27 182 
2116 0 0 0 0 0 
2117 952 555 1195 50 25 
2118 0 0 0 0 0 
2119 457 567 1692 1278 1872 
2120 371 409 214 14 59 
2121 461 576 1711 1282 1876 
2122 17 12 2 7 7 
2123 2310 1600 2802 3042 2485 
2124 369 407 2 17 22 
2125 1409 1614 1664 4 129 
2126 2205 1590 3570 1285 1885 
2127 2209 1594 3579 1304 1934 
2128 370 408 598 2278 2228 
2129 2222 1607 2857 1322 1962 
2130 2 2 7 7 7 
2131 1435 1620 1700 20 140 
2133 11 16 1 1 1 
2135 513 648 33 4 3 
2136 4 4 15 4 4 
2137 1402 1602 2812 3047 2477 
2139 1367 1557 1117 3037 2497 
2140 7 7 2 7 7 
2141 372 410 90 5 15 
2142 5 5 0 0 0 
2143 2253 1648 3558 1293 1928 
2144 9 14 4 4 4 
2145 371 414 194 19 29 
2147 7 7 2 22 22 
2148 1472 1657 777 57 167 
2149 1019 649 234 30 74 
2150 483 593 13 4 3 
2151 14 14 14 4 4 
2152 0 0 0 0 0 
2153 1406 1606 1196 3041 2476 
2154 1450 1635 10 10 140 
2155 559 649 49 10 9 
